nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:47.366Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"21","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:47.367Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"21\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:50.367Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"11","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:50.367Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"11\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:58.366Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"22","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:31:58.366Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"22\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:01.594Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"12","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:01.594Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"12\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:09.366Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"23","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:09.366Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"23\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:12.610Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"13","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:12.610Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"13\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:20.370Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"24","message":{"Ping":{}}}
